record_id;redcap_survey_identifier;introduction_utilisation_des_technologies_interact_timestamp;consent;socio_age;socio_exp;socio_region;socio_milieu___1;socio_milieu___2;socio_milieu___3;socio_milieu___4;socio_milieu___5;socio_milieu___6;socio_milieu_o;socio_prg___1;socio_prg___2;socio_prg___3;socio_prg___4;socio_prg___5;socio_prg___6;socio_acces_it;socio_acces_it_o___1;socio_acces_it_o___2;socio_acces_it_o___3;socio_acces_it_o___4;socio_acces_it_o___5;socio_acces_it_o___6;socio_expo_it;or_profil;introduction_utilisation_des_technologies_interact_complete;profil_utilisateur_de_technologies_interactives_timestamp;rv_ou_ra_used;rv_ou_ra_mrq;rv_ou_ra_frz;rv_ou_ra_ctx;jva_used;jva_mrq;jva_frz;jva_ctx;appli_used;appli_mrq;appli_frz;appli_ctx;wearables_used;wearables_mrq;wearables_frz;wearables_ctx;robo_used;robo_mrq;robo_frz;robo_ctx;mrq_age1;mrq_age2;mrq_age3;mrq_age4;mrq_age5;mrq_used_q2_1___1;mrq_used_q2_1___2;mrq_used_q2_1___3;mrq_used_q2_1___4;mrq_used_q2_1___5;mrq_used_q2_2___1;mrq_used_q2_2___2;mrq_used_q2_2___3;mrq_used_q2_2___4;mrq_used_q2_2___5;mrq_used_q2_3___1;mrq_used_q2_3___2;mrq_used_q2_3___3;mrq_used_q2_3___4;mrq_used_q2_3___5;mrq_used_q2_4___1;mrq_used_q2_4___2;mrq_used_q2_4___3;mrq_used_q2_4___4;mrq_used_q2_4___5;mrq_used_q2_5___1;mrq_used_q2_5___2;mrq_used_q2_5___3;mrq_used_q2_5___4;mrq_used_q2_5___5;mrq_patho1;mrq_patho2;mrq_patho3;mrq_patho4;mrq_patho5;mrq_used_q3_1___1;mrq_used_q3_1___2;mrq_used_q3_1___3;mrq_used_q3_1___4;mrq_used_q3_1___5;mrq_used_q3_2___1;mrq_used_q3_2___2;mrq_used_q3_2___3;mrq_used_q3_2___4;mrq_used_q3_2___5;mrq_used_q3_3___1;mrq_used_q3_3___2;mrq_used_q3_3___3;mrq_used_q3_3___4;mrq_used_q3_3___5;mrq_used_q3_4___1;mrq_used_q3_4___2;mrq_used_q3_4___3;mrq_used_q3_4___4;mrq_used_q3_4___5;mrq_used_q3_5___1;mrq_used_q3_5___2;mrq_used_q3_5___3;mrq_used_q3_5___4;mrq_used_q3_5___5;mrq_path_o;mrq_iog1;mrq_iog2;mrq_iog3;mrq_iog4;mrq_iog5;mrq_used_q4_1;mrq_used_q4_2;mrq_used_q4_3;mrq_used_q4_4;mrq_used_q4_5;ti_iogp;ti_collab;ti_collab_q5_1;ti_collab_pro_q5_1___1;ti_collab_pro_q5_1___2;ti_collab_pro_q5_1___3;ti_collab_pro_q5_1___4;ti_collab_pro_q5_1___5;ti_collab_pro_q5_1___6;ti_collab_pro_q5_1___7;mrq_tps1;mrq_tps2;mrq_tps3;mrq_tps4;mrq_tps5;mrq_used_q6_1;mrq_used_q6_2;mrq_used_q6_3;mrq_used_q6_4;mrq_used_q6_5;mrq_used_q7_1;mrq_used_q7_2;mrq_used_q7_3;mrq_used_q7_4;mrq_used_q7_5;mrq_hab_1_1;mrq_hab_1_2;mrq_hab_1_3;mrq_hab_1_4;mrq_hab_1_5;mrq_hab_2_1;mrq_hab_2_2;mrq_hab_2_3;mrq_hab_2_4;mrq_hab_2_5;ti_vad;ti_vad_q8_1;ti_vad_mrq_q8_1___1;ti_vad_mrq_q8_1___2;ti_vad_mrq_q8_1___3;ti_vad_mrq_q8_1___4;ti_vad_mrq_q8_1___5;ti_accord_q9_1;ti_accord_q9_2;mrqs_used_q9_1___1;mrqs_used_q9_1___2;mrqs_used_q9_1___3;mrqs_used_q9_1___4;mrqs_used_q9_1___5;mrqs_used_q9_2___1;mrqs_used_q9_2___2;mrqs_used_q9_2___3;mrqs_used_q9_2___4;mrqs_used_q9_2___5;ti_po_k;ti_po_asp___1;ti_po_asp___2;ti_po_asp___3;ti_po_asp___4;ti_accord_q12_1;ti_accord_q12_2;mrqs_used_q12_1___1;mrqs_used_q12_1___2;mrqs_used_q12_1___3;mrqs_used_q12_1___4;mrqs_used_q12_1___5;mrqs_used_q12_2___1;mrqs_used_q12_2___2;mrqs_used_q12_2___3;mrqs_used_q12_2___4;mrqs_used_q12_2___5;ti_accord_q13_1;mrqs_used_q13_1___1;mrqs_used_q13_1___2;mrqs_used_q13_1___3;mrqs_used_q13_1___4;mrqs_used_q13_1___5;ti_gestion_pb___1;ti_gestion_pb___2;ti_gestion_pb___3;ti_gestion_pb___4;ti_gestion_pb___5;ti_gestion_pb___6;ti_gestion_pb___7;ti_gestion_pb___8;ti_gestion_pb___9;ti_gestion_pb___10;ti_gestion_pb_o;ti_accord_q15_1;mrq_used_q15_1___1;mrq_used_q15_1___2;mrq_used_q15_1___3;mrq_used_q15_1___4;mrq_used_q15_1___5;ti_preoccup_parents;ti_preoccup_parents_q16_1;ti_preoccup_oui_q16_1___1;ti_preoccup_oui_q16_1___2;ti_preoccup_oui_q16_1___3;ti_preoccup_oui_q16_1___4;ti_preoccup_oui_q16_1___5;ti_preoccup_oui_q16_1___6;ti_preoccup_oui_q16_1___7;ti_preoccup_parents_o;ti_satis_parents;ti_relations_parents;profil_utilisateur_de_technologies_interactives_complete;profil_nonutilisateur_de_technologies_interactives_timestamp;mrq_fam_1;mrq_fam_2;mrq_fam_3;mrq_fam_4;mrq_fam_5;nti_raisons_interet;nti_diff_1_1;nti_diff_1_2;nti_diff_1_3;nti_diff_1_4;nti_diff_1_5;nti_diff_1_6;nti_diff_o;nti_persp_presence;nti_impact_futur;nti_collab;nti_preocup_secu___1;nti_preocup_secu___2;nti_preocup_secu___3;nti_preocup_secu___4;nti_preocup_secu___5;nti_preocup_secu___6;nti_preocup_secu___7;nti_preocup_secu___8;nti_preocup_secu___9;nti_preocup_secu___10;nti_preocup_secu___11;nti_preocup_secu___12;nti_preocup_secu___13;nti_preocup_secu___14;profil_nonutilisateur_de_technologies_interactives_complete;synthse_et_rflexions_futures_pour_tous_timestamp;tt_accord_q1_1;tt_accord_q1_2;mrqs_used_q1_1___1;mrqs_used_q1_1___2;mrqs_used_q1_1___3;mrqs_used_q1_1___4;mrqs_used_q1_1___5;mrqs_used_q1_2___1;mrqs_used_q1_2___2;mrqs_used_q1_2___3;mrqs_used_q1_2___4;mrqs_used_q1_2___5;tt_k_forma;tt_besoin_secu___1;tt_besoin_secu___2;tt_besoin_secu___3;tt_besoin_secu___4;tt_besoin_secu___5;tt_besoin_secu___6;tt_besoin_secu___7;tt_besoin_secu___8;tt_persp_avantage___1;tt_persp_avantage___2;tt_persp_avantage___3;tt_persp_avantage___4;tt_persp_avantage___5;tt_persp_avantage___6;tt_persp_avantage___7;tt_persp_desavantage___1;tt_persp_desavantage___2;tt_persp_desavantage___3;tt_persp_desavantage___4;tt_persp_desavantage___5;tt_persp_desavantage___6;tt_persp_desavantage___7;tt_persp_desavantage___8;tt_persp_desavantage___9;carte_kdo;synthse_et_rflexions_futures_pour_tous_complete;cartescadeaux_timestamp;kdo_carte_coordo;futures_etudes;cartescadeaux_complete
1;;2024-11-21 17:24:55;1;3;5;6;0;1;0;1;0;0;;0;0;0;0;0;1;2;0;0;0;0;0;0;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;0;0;;;;0;2024-11-21 17:26:25;1;1;1;1;1;2;2;5;5;5;3;;;2;3;1;1;0;1;1;0;1;0;0;1;1;1;0;1;0;2;2024-11-21 17:28:06;1;1;1;1;1;1;1;1;1;1;1;1;3;0;1;1;0;0;1;1;0;1;0;1;0;0;1;0;0;1;1;1;0;1;0;1;0;1;2;2024-11-21 17:28:52;Melanie Caouette   caouette_melanie@yahoo.ca;1;2
2;;2024-11-21 17:49:39;1;3;2;12;0;0;1;0;0;0;;1;1;1;1;0;1;2;0;0;0;0;0;0;3;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;0;0;;;;0;2024-11-21 17:52:11;1;2;2;1;1;2;1;5;5;5;2;5;;2;3;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;2;2024-11-21 17:54:34;1;2;1;0;0;1;1;0;0;0;0;0;3;1;0;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;1;0;1;1;0;1;2;2024-11-21 17:55:01;Marianne Germain   marianne_stef@hotmail.com   581-999-3455;2;2
3;;2024-11-21 18:00:25;1;1;2;3;0;1;0;0;0;0;;0;0;0;0;0;1;2;0;0;0;0;0;0;5;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0
4;;2024-11-21 18:32:12;1;3;5;15;0;0;1;0;0;0;;0;1;0;0;0;0;1;0;0;1;0;0;0;3;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;0;0;;;;0;2024-11-21 18:34:24;2;2;2;2;1;2;1;4;5;5;2;1;;2;2;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;2;2024-11-21 18:36:26;1;2;1;0;0;1;1;0;0;0;0;0;3;0;0;1;0;0;1;1;0;0;1;1;0;0;1;0;0;1;1;1;1;0;1;1;0;1;2;2024-11-21 18:37:01;Karine desjardins   desjardinsk@hotmail.com   8195075643;2;2
6;;2024-11-21 19:31:23;1;2;2;13;0;0;0;1;0;0;;0;0;1;0;0;0;1;0;0;1;1;0;0;3;1;2;2024-11-21 19:41:23;2;;;;2;;;;1;Apple;4;3;2;;;;2;;;;2;3;;;;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;;;;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;;;;;3;;;;;;;1;0;1;0;1;0;0;1;2;;;;;3;;;;;3;;;;;14;;;;;8;;;;;;2;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;1;1;1;1;0;1;1;0;0;1;0;0;0;0;1;0;0;3;0;0;1;0;0;0;1;0;1;1;1;0;0;0;0;;3;0;0;1;0;0;;1;1;1;0;0;1;0;0;;3;3;2;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2024-11-21 19:43:16;1;2;1;1;0;1;1;0;0;0;0;0;3;1;1;0;1;1;0;1;1;1;0;1;1;0;0;0;0;1;1;1;1;1;1;1;0;1;2;2024-11-21 19:44:03;Marie-Hélène Moisan  mariehmoisan@aol.com  418-922-0274;2;2
7;;2024-11-21 19:37:28;1;4;5;6;1;0;0;0;0;0;;0;0;0;0;1;0;2;0;0;0;0;0;0;3;1;2;2024-11-21 19:45:22;2;;;;1;;;;2;;;;1;;;;2;;;;3;;;;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;;;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;;;;;2;;;;;Groupe impossible dans mon travail ;;1;1;0;0;1;0;0;0;3;;;;;2;;;;;2;;;;;12;;;;;13;;;;;;2;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;2;0;1;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;1;1;1;0;1;0;0;1;0;;2;0;0;0;0;0;;3;0;0;0;0;1;1;0;;3;3;2;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2024-11-21 19:48:10;1;2;1;1;1;1;1;0;0;0;0;0;3;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;1;2;2024-11-21 19:49:23;Thiboutotlucie@gmail.com  514 521 6572;1;2
8;;2024-11-21 20:06:58;1;2;4;7;0;0;0;1;1;0;;0;0;1;1;1;1;1;0;1;1;0;0;0;4;1;2;2024-11-21 20:40:31;2;;;;1;;3;3;1;;1;3;2;;;;2;;;;1;2;3;4;;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;1;1;;;2;3;4;;;de manière individuelle;;1;1;1;0;1;0;0;0;5;5;;;;2;3;;;;;;;;;;;;;;;;;;;;1;0;1;1;0;0;1;3;0;1;1;0;0;0;0;0;0;0;1;1;1;1;0;1;3;0;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;3;0;1;1;0;0;;1;0;1;0;0;0;0;0;;3;2;2;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2024-11-21 20:56:53;3;;0;0;0;0;0;0;0;0;0;0;2;1;1;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;0;1;0;1;2;2024-11-21 20:57:25;Shannon Gravelle   shanbird@gmail.com;1;2
9;;2024-11-21 21:16:23;1;1;2;6;0;1;0;0;0;0;;0;0;0;1;0;1;1;0;1;1;0;0;0;3;1;2;2024-11-21 21:26:54;2;;;;2;;;;1;;4;2;2;;;;2;;;;2;3;;;;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;;;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;1;;;;;3;;;;;Individuel, plus facile de gerer l'utlisation, la posture, le temps, le materiel ;;1;0;1;0;1;0;0;0;1;;;;;3;;;;;3;;;;;8;;;;;14;;;;;;1;0;0;1;0;0;1;1;0;0;1;0;0;0;0;1;0;0;1;1;1;1;0;1;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;;3;0;0;1;0;0;;1;0;1;1;0;0;1;1;Le coût d'accès;2;2;2;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2024-11-21 21:29:23;1;2;1;1;1;1;1;0;0;0;0;0;3;1;1;1;1;0;1;1;1;1;0;1;1;0;0;0;0;1;0;1;1;0;0;1;0;1;2;2024-11-21 21:30:19;Jihene Tlili , jihene.tlili@hotmail.com, 514-582-0128;1;2
10;;2024-11-21 21:30:46;1;2;3;14;0;1;0;0;0;0;;0;0;0;0;0;1;1;0;0;1;0;0;0;4;1;2;2024-11-21 21:41:10;2;;;;2;;;;1;;;;2;;;;2;;;;3;2;;;;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;;;;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Enfant avec difficultés motrices sans trouble développemental plus grand.   Enfants avec TSA, TDAH;1;;;;;3;;;;;Je ne fais pas de groupe;;1;0;1;0;0;0;0;0;1;;;;;3;;;;;3;;;;;8;;;;;14;;;;;;1;0;0;1;0;0;3;1;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;2;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;Dilemme d'intégrer l'utilisation d'écrans alors qu'on tente plutôt de favoriser une diminution des écrans chez les enfants.;3;0;0;1;0;0;;1;0;1;0;1;1;0;0;;2;3;2;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2024-11-21 21:43:38;2;1;0;0;0;0;0;0;0;1;0;0;3;1;1;1;1;1;0;1;1;1;0;1;0;0;0;0;0;1;0;1;0;1;1;1;0;1;2;2024-11-21 21:44:16;Camille Forest-Lachapelle  cam.forest@hotmail.com  514-796-1667;1;2
12;;2024-11-21 21:59:00;1;4;5;6;0;0;0;0;0;1;Travail autonome semi retraité ;0;0;0;0;0;1;1;0;0;1;0;0;0;3;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0
